"graph","class","property"
"IRIS","http://schema.org/Dataset","http://schema.org/includedInDataCatalog"
"IRIS","http://schema.org/Dataset","http://schema.org/keywords"
"IRIS","http://schema.org/Dataset","http://schema.org/name"
"IRIS","http://schema.org/Dataset","http://schema.org/url"
"IRIS","http://schema.org/Organization","http://schema.org/name"
"IRIS","http://schema.org/Person","http://schema.org/affiliation"
"IRIS","http://schema.org/Person","http://schema.org/name"
"Neotoma","http://schema.org/DataCatalog","http://schema.org/about"
"Neotoma","http://schema.org/DataCatalog","http://schema.org/funder"
"Neotoma","http://schema.org/DataCatalog","http://schema.org/publisher"
"Neotoma","http://schema.org/DataDownload","http://schema.org/contentUrl"
"Neotoma","http://schema.org/DataDownload","http://schema.org/datePublished"
"Neotoma","http://schema.org/DataDownload","http://schema.org/inLanguage"
"Neotoma","http://schema.org/Dataset","http://schema.org/about"
"Neotoma","http://schema.org/Dataset","http://schema.org/author"
"Neotoma","http://schema.org/Dataset","http://schema.org/distribution"
"Neotoma","http://schema.org/Dataset","http://schema.org/includedInDataCatalog"
"Neotoma","http://schema.org/Dataset","http://schema.org/license"
"Neotoma","http://schema.org/Dataset","http://schema.org/spatialCoverage"
"Neotoma","http://schema.org/GeoCoordinates","http://schema.org/elevation"
"Neotoma","http://schema.org/GeoCoordinates","http://schema.org/latitude"
"Neotoma","http://schema.org/GeoCoordinates","http://schema.org/longitude"
"Neotoma","http://schema.org/Organization","http://schema.org/alternateName"
"Neotoma","http://schema.org/Organization","http://schema.org/description"
"Neotoma","http://schema.org/Organization","http://schema.org/name"
"Neotoma","http://schema.org/Organization","http://schema.org/url"
"Neotoma","http://schema.org/Person","http://schema.org/name"
"Neotoma","http://schema.org/Place","http://schema.org/geo"
"Neotoma","http://schema.org/Place","http://schema.org/name"
"Open Core Data","http://schema.org/ContactPoint","http://schema.org/contactType"
"Open Core Data","http://schema.org/ContactPoint","http://schema.org/email"
"Open Core Data","http://schema.org/ContactPoint","http://schema.org/name"
"Open Core Data","http://schema.org/ContactPoint","http://schema.org/url"
"Open Core Data","http://schema.org/DataDownload","http://schema.org/contentUrl"
"Open Core Data","http://schema.org/Dataset","http://schema.org/description"
"Open Core Data","http://schema.org/Dataset","http://schema.org/distribution"
"Open Core Data","http://schema.org/Dataset","http://schema.org/keywords"
"Open Core Data","http://schema.org/Dataset","http://schema.org/license"
"Open Core Data","http://schema.org/Dataset","http://schema.org/name"
"Open Core Data","http://schema.org/Dataset","http://schema.org/publisher"
"Open Core Data","http://schema.org/Dataset","http://schema.org/spatialCoverage"
"Open Core Data","http://schema.org/Dataset","http://schema.org/url"
"Open Core Data","http://schema.org/Dataset","http://schema.org/variableMeasured"
"Open Core Data","http://schema.org/DigitalDocument","http://schema.org/description"
"Open Core Data","http://schema.org/DigitalDocument","http://schema.org/fileformat"
"Open Core Data","http://schema.org/DigitalDocument","http://schema.org/keywords"
"Open Core Data","http://schema.org/DigitalDocument","http://schema.org/url"
"Open Core Data","http://schema.org/EntryPoint","http://schema.org/description"
"Open Core Data","http://schema.org/EntryPoint","http://schema.org/httpMethod"
"Open Core Data","http://schema.org/EntryPoint","http://schema.org/urlTemplate"
"Open Core Data","http://schema.org/GeoCoordinates","http://schema.org/latitude"
"Open Core Data","http://schema.org/GeoCoordinates","http://schema.org/longitude"
"Open Core Data","http://schema.org/Organization","http://schema.org/contactPoint"
"Open Core Data","http://schema.org/Organization","http://schema.org/description"
"Open Core Data","http://schema.org/Organization","http://schema.org/funder"
"Open Core Data","http://schema.org/Organization","http://schema.org/mainEntityOfPage"
"Open Core Data","http://schema.org/Organization","http://schema.org/memberOf"
"Open Core Data","http://schema.org/Organization","http://schema.org/name"
"Open Core Data","http://schema.org/Organization","http://schema.org/potentialAction"
"Open Core Data","http://schema.org/Organization","http://schema.org/sameAs"
"Open Core Data","http://schema.org/Organization","http://schema.org/url"
"Open Core Data","http://schema.org/Place","http://schema.org/geo"
"Open Core Data","http://schema.org/ProgramMembership","http://schema.org/hostingOrganization"
"Open Core Data","http://schema.org/ProgramMembership","http://schema.org/programName"
"Open Core Data","http://schema.org/PropertyValue","http://schema.org/description"
"Open Core Data","http://schema.org/PropertyValue","http://schema.org/name"
"Open Core Data","http://schema.org/PropertyValue","http://schema.org/unitText"
"Open Core Data","http://schema.org/PropertyValue","http://schema.org/url"
"Open Core Data","http://schema.org/SearchAction","http://schema.org/query-input"
"Open Core Data","http://schema.org/SearchAction","http://schema.org/target"
"Open Core Data","http://schema.org/WebSite","http://schema.org/description"
"Open Core Data","http://schema.org/WebSite","http://schema.org/keywords"
"Open Core Data","http://schema.org/WebSite","http://schema.org/potentialAction"
"Open Core Data","http://schema.org/WebSite","http://schema.org/url"
"Open Topography","http://schema.org/ContactPoint","http://schema.org/contactType"
"Open Topography","http://schema.org/ContactPoint","http://schema.org/email"
"Open Topography","http://schema.org/ContactPoint","http://schema.org/url"
"Open Topography","http://schema.org/DataCatalog","http://schema.org/identifier"
"Open Topography","http://schema.org/DataCatalog","http://schema.org/name"
"Open Topography","http://schema.org/DataCatalog","http://schema.org/url"
"Open Topography","http://schema.org/Dataset","http://schema.org/additionalType"
"Open Topography","http://schema.org/Dataset","http://schema.org/alternateName"
"Open Topography","http://schema.org/Dataset","http://schema.org/citation"
"Open Topography","http://schema.org/Dataset","http://schema.org/contributor"
"Open Topography","http://schema.org/Dataset","http://schema.org/dateCreated"
"Open Topography","http://schema.org/Dataset","http://schema.org/description"
"Open Topography","http://schema.org/Dataset","http://schema.org/funder"
"Open Topography","http://schema.org/Dataset","http://schema.org/identifier"
"Open Topography","http://schema.org/Dataset","http://schema.org/includedInDataCatalog"
"Open Topography","http://schema.org/Dataset","http://schema.org/isAccessibleForFree"
"Open Topography","http://schema.org/Dataset","http://schema.org/keywords"
"Open Topography","http://schema.org/Dataset","http://schema.org/license"
"Open Topography","http://schema.org/Dataset","http://schema.org/locationCreated"
"Open Topography","http://schema.org/Dataset","http://schema.org/name"
"Open Topography","http://schema.org/Dataset","http://schema.org/publisher"
"Open Topography","http://schema.org/Dataset","http://schema.org/spatialCoverage"
"Open Topography","http://schema.org/Dataset","http://schema.org/url"
"Open Topography","http://schema.org/Dataset","http://schema.org/variableMeasured"
"Open Topography","http://schema.org/EntryPoint","http://schema.org/description"
"Open Topography","http://schema.org/EntryPoint","http://schema.org/httpMethod"
"Open Topography","http://schema.org/EntryPoint","http://schema.org/urlTemplate"
"Open Topography","http://schema.org/GeoShape","http://schema.org/box"
"Open Topography","http://schema.org/ImageObject","http://schema.org/url"
"Open Topography","http://schema.org/Organization","http://schema.org/additionalType"
"Open Topography","http://schema.org/Organization","http://schema.org/award"
"Open Topography","http://schema.org/Organization","http://schema.org/contactPoint"
"Open Topography","http://schema.org/Organization","http://schema.org/description"
"Open Topography","http://schema.org/Organization","http://schema.org/email"
"Open Topography","http://schema.org/Organization","http://schema.org/funder"
"Open Topography","http://schema.org/Organization","http://schema.org/legalName"
"Open Topography","http://schema.org/Organization","http://schema.org/logo"
"Open Topography","http://schema.org/Organization","http://schema.org/memberOf"
"Open Topography","http://schema.org/Organization","http://schema.org/name"
"Open Topography","http://schema.org/Organization","http://schema.org/potentialAction"
"Open Topography","http://schema.org/Organization","http://schema.org/sameAs"
"Open Topography","http://schema.org/Organization","http://schema.org/url"
"Open Topography","http://schema.org/Place","http://schema.org/additionalProperty"
"Open Topography","http://schema.org/Place","http://schema.org/geo"
